pictures,username,Category,Level
images\realistic (20).jpg,kiki,Unrealistic,5.0
images\young boy (1).jpg,kiki,Unrealistic,2.0
images\8.jpg,kiki,Alignment Problem,2.0
images\face of a man with glasses2.jpg,kiki,No Errors,0.0
images\realistic (14).jpg,kiki,No Errors,0.0
images\realistic face (19).jpg,kiki,Unrealistic,4.0
images\face of a girl with glasses.jpg,kiki,Wrong Aspect,2.0
images\unreal_4.jpg,kiki,Unrealistic,5.0
images\adolescent (1).jpg,kiki,Unrealistic,3.0
images\sleeping face(1).jpg,kiki,No Errors,0.0
images\face of a man with a face piercing2.jpg,kiki,No Errors,0.0
images\female face(25).jpg,kiki,Incorrect Proportion,1.0
images\school girl face (3).jpg,kiki,Unrealistic,3.0
images\child face(6).jpg,kiki,Number of Features,4.0
images\realistic face (3).jpg,kiki,Number of Features,2.0
images\a realistic face (1).jpg,kiki,Wrong Aspect,3.0
images\face of a boy with black hair(1).jpg,kiki,Unrealistic,2.0
images\female nose.jpg,Flooooo,Incorrect Proportion,3.0
images\realistic face (5).jpg,Flooooo,Unrealistic,1.0
images\face of a smiling darkskinned woman.jpg,Flooooo,No Errors,0.0
images\unreal_3.jpg,Flooooo,Unrealistic,4.0
images\realistic (8).jpg,Flooooo,No Errors,0.0
images\face of a man with a tattoo2.jpg,Flooooo,No Errors,0.0
images\correct_1.jpg,Flooooo,No Errors,0.0
images\female nose(3).jpg,Flooooo,Wrong Aspect,3.0
images\correct_2.jpg,Flooooo,No Errors,0.0
images\female face(26).jpg,Flooooo,Unrealistic,1.0
images\realistic (16).jpg,Flooooo,No Errors,0.0
images\face of a man with black hair.jpg,Flooooo,Unrealistic,4.0
images\child face(5).jpg,Flooooo,Incorrect Proportion,1.0
images\female nose(1).jpg,Flooooo,No Errors,0.0
images\face of a man with a tattoo1.jpg,Flooooo,No Errors,0.0
images\face of a woman with black hair(1).jpg,Flooooo,Unrealistic,3.0
images\female face(29).jpg,Flooooo,No Errors,0.0
images\adolescent (3).jpg,Flooooo,Unrealistic,3.0
images\face of a man (2).jpg,Flooooo,Unrealistic,1.0
images\old lady with white hair.jpg,Flooooo,No Errors,0.0
images\unreal_2.jpg,sam,Unrealistic,4.0
images\realistic face (14).jpg,sam,Incorrect Proportion,1.0
images\realistic (18).jpg,sam,No Errors,0.0
images\realistic face of a young girl (4).jpg,sam,Alignment Problem,1.0
images\female face(4).jpg,sam,Incorrect Proportion,2.0
images\face of a smiling child.jpg,sam,Alignment Problem,2.0
images\face of a boy with glasses(1).jpg,sam,No Errors,0.0
images\face of a sleeping girl(2).jpg,sam,Unrealistic,3.0
images\realistic (15).jpg,sam,Unrealistic,4.0
images\face of a boy with black hair.jpg,sam,Unrealistic,4.0
images\face of a darkskinned man.jpg,sam,No Errors,0.0
images\face(1).jpg,sam,Unrealistic,3.0
images\face of a man.jpg,sam,Unrealistic,5.0
images\adolescent (4).jpg,sam,No Errors,0.0
images\realistic (10).jpg,sam,Wrong Aspect,3.0
images\female face(6).jpg,sam,Alignment Problem,3.0
images\face of a smiling child(1).jpg,sam,Unrealistic,4.0
images\face of a smiling woman(1).jpg,sam,Incorrect Proportion,3.0
images\realistic face (40).jpg,sam,No Errors,0.0
images\face of a girl with glasses(3).jpg,sam,Wrong Aspect,2.0
images\realistic face of a young girl (2).jpg,NB,Incorrect Proportion,2.0
images\face of a smiling man(1).jpg,NB,Unrealistic,3.0
images\female face(17).jpg,NB,Number of Features,4.0
images\realistic face (10).jpg,NB,Incorrect Proportion,3.0
images\sleeping face.jpg,NB,Alignment Problem,2.0
images\face of a man (1).jpg,NB,Incorrect Proportion,2.0
images\realistic face of a young girl.jpg,NB,No Errors,0.0
images\child face(5).jpg,NB,Number of Features,3.0
images\face(5).jpg,NB,Number of Features,4.0
images\ugly male face.jpg,NB,No Errors,0.0
images\face of a smiling child.jpg,NB,Incorrect Proportion,2.0
images\female face(6).jpg,NB,Wrong Aspect,3.0
images\realistic face (14).jpg,NB,Incorrect Proportion,3.0
images\realistic (10).jpg,NB,Number of Features,3.0
images\school girl face (3).jpg,NB,Unrealistic,2.0
images\female face(25).jpg,NB,Alignment Problem,0.0
images\realistic face (40).jpg,NB,Wrong Aspect,4.0
images\face of a man with glasses3.jpg,NB,Incorrect Proportion,2.0
images\nf_6.jpg,NB,Number of Features,2.0
images\face of a man with glasses.jpg,NB,Alignment Problem,3.0
images\pp_5.jpg,Pradip,Incorrect Proportion,2.0
images\old lady face (1).jpg,Pradip,Number of Features,3.0
images\face of a man with a face piercing1.jpg,Pradip,Incorrect Proportion,2.0
images\school boy face (3).jpg,Pradip,Number of Features,3.0
images\realistic (3).jpg,Pradip,Incorrect Proportion,2.0
images\face of a sleeping boy.jpg,Pradip,Number of Features,4.0
images\old man face.jpg,Pradip,Number of Features,2.0
images\old man face (3).jpg,Pradip,Incorrect Proportion,2.0
images\face of a man with a tattoo.jpg,Pradip,Alignment Problem,3.0
images\face of a man (4).jpg,Pradip,Incorrect Proportion,2.0
images\female face(12).jpg,Pradip,Alignment Problem,3.0
images\realistic face (42).jpg,Pradip,Wrong Aspect,2.0
images\face of a man with glasses.jpg,Pradip,Incorrect Proportion,2.0
images\female face(17).jpg,Pradip,Alignment Problem,3.0
images\female face(10).jpg,Pradip,No Errors,0.0
images\face of a girl(2).jpg,Pradip,Unrealistic,2.0
images\realistic (21).jpg,Pradip,Unrealistic,3.0
images\perfect.jpg,Pradip,Incorrect Proportion,2.0
images\realistic (19).jpg,Pradip,Wrong Aspect,3.0
images\face of a girl with piercings(1).jpg,Pradip,Alignment Problem,3.0
images\face of a sleeping girl(2).jpg,333,Unrealistic,3.0
images\school girl face (2).jpg,333,No Errors,0.0
images\face of a woman with black hair.jpg,333,Unrealistic,3.0
images\realistic (18).jpg,333,Alignment Problem,2.0
images\female nose.jpg,333,Alignment Problem,4.0
images\realistic face (42).jpg,333,Unrealistic,3.0
images\realistic (16).jpg,333,Alignment Problem,0.0
images\face(5).jpg,333,Number of Features,3.0
images\face of a man with a tattoo1.jpg,333,Wrong Aspect,2.0
images\face of a smiling girl with red hair.jpg,333,Unrealistic,3.0
images\ugly male face(3).jpg,333,Unrealistic,2.0
images\sleeping face(2).jpg,333,Number of Features,4.0
images\face of a smiling darkskinned woman(1).jpg,333,Unrealistic,3.0
images\face of a woman with black hair(1).jpg,333,Unrealistic,3.0
images\face of a man with a face piercing1.jpg,333,No Errors,0.0
images\realistic (14).jpg,333,Alignment Problem,2.0
images\realistic face of a young girl.jpg,333,No Errors,0.0
images\face of a sleeping boy(2).jpg,333,Unrealistic,3.0
images\child face.jpg,333,Number of Features,4.0
images\face of a little girl with a tattoo.jpg,333,Unrealistic,2.0
images\realistic (15).jpg,Lakshmibai,Unrealistic,3.0
images\face of a smiling girl with red hair.jpg,Lakshmibai,Unrealistic,3.0
images\realistic face (12).jpg,Lakshmibai,Unrealistic,4.0
images\face of a man with a face piercing1.jpg,Lakshmibai,No Errors,0.0
images\realistic face (20).jpg,Lakshmibai,Incorrect Proportion,2.0
images\realistic face (8).jpg,Lakshmibai,Alignment Problem,1.0
images\face of a sleeping girl(2).jpg,Lakshmibai,Number of Features,3.0
images\realistic (6).jpg,Lakshmibai,Incorrect Proportion,2.0
images\a realistic face (1).jpg,Lakshmibai,Alignment Problem,2.0
images\realistic face (16).jpg,Lakshmibai,Wrong Aspect,0.0
images\sleeping face(4).jpg,Lakshmibai,Number of Features,3.0
images\female nose(1).jpg,Lakshmibai,Wrong Aspect,0.0
images\face of a man with black hair(1).jpg,Lakshmibai,Incorrect Proportion,2.0
images\face of a girl(2).jpg,Lakshmibai,Unrealistic,3.0
images\realistic face (6).jpg,Lakshmibai,Wrong Aspect,3.0
images\face of a smiling woman(2).jpg,Lakshmibai,Incorrect Proportion,1.0
images\realistic face (17).jpg,Lakshmibai,Wrong Aspect,0.0
images\face of a little girl with a tattoo.jpg,Lakshmibai,Unrealistic,4.0
images\face of a smiling child(1).jpg,Lakshmibai,Unrealistic,3.0
images\old man face.jpg,Lakshmibai,Wrong Aspect,3.0
images\school boy face.jpg,Mukh,Number of Features,3.0
images\face of a woman (1).jpg,Mukh,Unrealistic,2.0
images\realistic face (45).jpg,Mukh,Wrong Aspect,4.0
images\ip_5.jpg,Mukh,Alignment Problem,2.0
images\realistic face of a young girl.jpg,Mukh,No Errors,0.0
images\realistic face (12).jpg,Mukh,Unrealistic,5.0
images\face of a little girl with a tattoo.jpg,Mukh,Unrealistic,4.0
images\sleeping face.jpg,Mukh,Number of Features,2.0
images\boy face.jpg,Mukh,Alignment Problem,3.0
images\girl with tattoo.jpg,Mukh,Incorrect Proportion,3.0
images\realistic (6).jpg,Mukh,Incorrect Proportion,1.0
images\face of a man (3).jpg,Mukh,Wrong Aspect,1.0
images\face of a smiling boy(1).jpg,Mukh,Unrealistic,4.0
images\face of a man with glasses3.jpg,Mukh,Alignment Problem,3.0
images\realistic face (10).jpg,Mukh,Wrong Aspect,2.0
images\realistic face (6).jpg,Mukh,Unrealistic,3.0
images\realistic face sad.jpg,Mukh,Unrealistic,4.0
images\young.jpg,Mukh,Unrealistic,3.0
images\realistic face (11).jpg,Mukh,Incorrect Proportion,2.0
images\face of a smiling man(1).jpg,Mukh,Unrealistic,5.0
images\face of a smiling boy(3).jpg,Naaaaaan,Alignment Problem,1.0
images\ip_4.jpg,Naaaaaan,Incorrect Proportion,1.0
images\realistic (23).jpg,Naaaaaan,Unrealistic,3.0
images\face of a girl(4).jpg,Naaaaaan,Unrealistic,3.0
images\realistic (9).jpg,Naaaaaan,Alignment Problem,1.0
images\face of a smiling woman(2).jpg,Naaaaaan,Number of Features,1.0
images\face of a woman with black hair.jpg,Naaaaaan,Unrealistic,3.0
images\female face(20).jpg,Naaaaaan,Alignment Problem,1.0
images\realistic face (29).jpg,Naaaaaan,Wrong Aspect,3.0
images\old lady face (3).jpg,Naaaaaan,No Errors,0.0
images\realistic face (48).jpg,Naaaaaan,Unrealistic,3.0
images\face of a smiling girl with red hair(1).jpg,Naaaaaan,Unrealistic,3.0
images\ugly male face(2).jpg,Naaaaaan,Unrealistic,3.0
images\child face (1).jpg,Naaaaaan,No Errors,0.0
images\old lady face (2).jpg,Naaaaaan,Incorrect Proportion,1.0
images\school boy face (1).jpg,Naaaaaan,Unrealistic,3.0
images\face of a girl with piercings.jpg,Naaaaaan,Unrealistic,3.0
images\nf_1.jpg,Naaaaaan,Unrealistic,3.0
images\realistic face (20).jpg,Naaaaaan,Incorrect Proportion,2.0
images\realistic face (18).jpg,Naaaaaan,Unrealistic,3.0
images\realistic face (44).jpg,Mlel,No Errors,0.0
images\school girl face (2).jpg,Mlel,No Errors,0.0
images\face of a smiling woman.jpg,Mlel,Unrealistic,3.0
images\face of a smiling boy.jpg,Mlel,Number of Features,0.0
images\face of a boy with glasses(3).jpg,Mlel,Unrealistic,4.0
images\face of a woman with black hair(3).jpg,Mlel,Unrealistic,2.0
images\realistic face (16).jpg,Mlel,Alignment Problem,0.0
images\natural face (1).jpg,Mlel,Unrealistic,2.0
images\realistic (4).jpg,Mlel,Unrealistic,4.0
images\face of a smiling darkskinned woman(2).jpg,Mlel,Alignment Problem,0.0
images\realistic face (15).jpg,Mlel,Alignment Problem,2.0
images\child face(1).jpg,Mlel,Alignment Problem,0.0
images\face of a girl with piercings3.jpg,Mlel,Alignment Problem,0.0
images\nf_3.jpg,Mlel,Alignment Problem,4.0
images\realistic (11).jpg,Mlel,No Errors,0.0
images\school girl face.jpg,Mlel,Alignment Problem,2.0
images\female face(27).jpg,Mlel,Unrealistic,3.0
images\female face(16).jpg,Mlel,Alignment Problem,2.0
images\face of a man with black hair(1).jpg,Mlel,Incorrect Proportion,3.0
images\a realistic face.jpg,Mlel,Incorrect Proportion,4.0
images\female face(27).jpg,sepp,Unrealistic,2.0
images\face of a boy with piercings(2).jpg,sepp,Unrealistic,3.0
images\nf_4.jpg,sepp,Number of Features,2.0
images\realistic face sad.jpg,sepp,Unrealistic,0.0
images\school boy face (3).jpg,sepp,Unrealistic,0.0
images\face of a sleeping boy.jpg,sepp,Number of Features,4.0
images\female face(26).jpg,sepp,Incorrect Proportion,0.0
images\realistic face (7).jpg,sepp,No Errors,0.0
images\face of a girl with glasses(3).jpg,sepp,No Errors,0.0
images\realistic face of a young girl (2).jpg,sepp,Unrealistic,0.0
images\face of a man (1).jpg,sepp,Incorrect Proportion,2.0
images\realistic (8).jpg,sepp,Incorrect Proportion,2.0
images\face of a smiling woman(2).jpg,sepp,No Errors,0.0
images\realistic face (4).jpg,sepp,Incorrect Proportion,2.0
images\face of a boy with black hair(1).jpg,sepp,Incorrect Proportion,3.0
images\realistic face (40).jpg,sepp,Incorrect Proportion,0.0
images\school girl face (3).jpg,sepp,Unrealistic,0.0
images\realistic face (6).jpg,sepp,Incorrect Proportion,1.0
images\face of a girl with piercings(1).jpg,sepp,No Errors,0.0
images\sleeping face(4).jpg,sepp,Incorrect Proportion,0.0
images\face of a smiling darkskinned woman.jpg,Hello123,Incorrect Proportion,3.0
images\child face(2).jpg,Hello123,Unrealistic,5.0
images\face of a smiling boy(3).jpg,Hello123,Incorrect Proportion,3.0
images\child face(5).jpg,Hello123,Alignment Problem,3.0
images\realistic (7).jpg,Hello123,No Errors,0.0
images\realistic face (2).jpg,Hello123,Unrealistic,2.0
images\girl with tattoo.jpg,Hello123,Number of Features,1.0
images\face of a woman with black hair(2).jpg,Hello123,No Errors,0.0
images\pp_5.jpg,Hello123,Unrealistic,5.0
images\face of a sleeping girl(1).jpg,Hello123,Unrealistic,4.0
images\realistic face (12).jpg,Hello123,Unrealistic,5.0
images\ugly male face(2).jpg,Hello123,Unrealistic,3.0
images\correct_4.jpg,Hello123,No Errors,0.0
images\realistic (13).jpg,Hello123,No Errors,0.0
images\old man face (2).jpg,Hello123,Incorrect Proportion,2.0
images\adolescent (1).jpg,Hello123,Unrealistic,3.0
images\face of a man (4).jpg,Hello123,No Errors,0.0
images\unreal_4.jpg,Hello123,Unrealistic,5.0
images\ip_2.jpg,Hello123,Alignment Problem,1.0
images\face of a man with a tattoo.jpg,Hello123,No Errors,0.0
images\sleeping face(1).jpg,gfhjdjgdf,Alignment Problem,2.0
images\correct_5.jpg,gfhjdjgdf,Wrong Aspect,4.0
images\realistic face (29).jpg,gfhjdjgdf,Incorrect Proportion,3.0
images\realistic (4).jpg,gfhjdjgdf,Unrealistic,4.0
images\correct_1.jpg,gfhjdjgdf,No Errors,0.0
images\face of a smiling boy.jpg,gfhjdjgdf,Unrealistic,4.0
images\face of a smiling child(1).jpg,gfhjdjgdf,Unrealistic,4.0
images\realistic face (13).jpg,gfhjdjgdf,Unrealistic,4.0
images\female face(29).jpg,gfhjdjgdf,Alignment Problem,1.0
images\realistic (21).jpg,gfhjdjgdf,Unrealistic,5.0
images\realistic face (17).jpg,gfhjdjgdf,Alignment Problem,1.0
images\face of a smiling boy(1).jpg,gfhjdjgdf,Unrealistic,4.0
images\8.jpg,gfhjdjgdf,Incorrect Proportion,1.0
images\female face(13).jpg,gfhjdjgdf,Alignment Problem,3.0
images\face of a smiling darkskinned woman(2).jpg,gfhjdjgdf,No Errors,0.0
images\female face(8).jpg,gfhjdjgdf,Unrealistic,4.0
images\face of a man with a face piercing.jpg,gfhjdjgdf,Incorrect Proportion,1.0
images\realistic face (11).jpg,gfhjdjgdf,Alignment Problem,1.0
images\ip_4.jpg,gfhjdjgdf,Wrong Aspect,2.0
images\face of a sleeping boy(3).jpg,gfhjdjgdf,Unrealistic,4.0
images\face of a girl with piercings3.jpg,sohini,Incorrect Proportion,4.0
images\nf_2.jpg,sohini,Unrealistic,4.0
images\face of a man (2).jpg,sohini,Number of Features,4.0
images\adolescent (3).jpg,sohini,Unrealistic,4.0
images\perfect.jpg,sohini,No Errors,0.0
images\unreal_2.jpg,sohini,Incorrect Proportion,4.0
images\face of a girl with glasses.jpg,sohini,No Errors,0.0
images\face of a girl(2).jpg,sohini,Unrealistic,4.0
images\old man face (3).jpg,sohini,Incorrect Proportion,4.0
images\realistic face (45).jpg,sohini,Unrealistic,4.0
images\realistic face (15).jpg,sohini,No Errors,0.0
images\child face(6).jpg,sohini,Number of Features,4.0
images\face of a man with glasses.jpg,sohini,Alignment Problem,4.0
images\old lady face (3).jpg,sohini,Incorrect Proportion,4.0
images\realistic (6).jpg,sohini,No Errors,0.0
images\female face(9).jpg,sohini,No Errors,0.0
images\realistic face (3).jpg,sohini,Unrealistic,4.0
images\female face(31).jpg,sohini,Incorrect Proportion,4.0
images\nf_6.jpg,sohini,Alignment Problem,3.0
images\face of a man with black hair.jpg,sohini,Wrong Aspect,3.0
images\face of a woman (1).jpg,josy,Unrealistic,1.0
images\boy face (1).jpg,josy,No Errors,0.0
images\face of a boy with black hair.jpg,josy,Unrealistic,2.0
images\realistic (10).jpg,josy,Wrong Aspect,1.0
images\realistic face (43).jpg,josy,No Errors,0.0
images\realistic (20).jpg,josy,Unrealistic,3.0
images\female face(10).jpg,josy,No Errors,0.0
images\school boy face.jpg,josy,Number of Features,1.0
images\realistic face (44).jpg,josy,No Errors,0.0
images\face of a girl(4).jpg,josy,Unrealistic,5.0
images\face of a smiling boy(2).jpg,josy,Unrealistic,3.0
images\realistic (3).jpg,josy,No Errors,0.0
images\adolescent (4).jpg,josy,No Errors,0.0
images\female face(17).jpg,josy,Unrealistic,4.0
images\realistic face of a young girl (4).jpg,josy,No Errors,0.0
images\adolescent.jpg,josy,No Errors,0.0
images\face of a man with a face piercing2.jpg,josy,No Errors,0.0
images\realistic face (46).jpg,josy,Unrealistic,5.0
images\young boy (1).jpg,josy,No Errors,0.0
images\old lady with white hair.jpg,josy,No Errors,0.0
images\face of a girl.jpg,Jonny,No Errors,0.0
images\nf_1.jpg,Jonny,Wrong Aspect,3.0
images\female face(25).jpg,Jonny,No Errors,0.0
images\old lady face (2).jpg,Jonny,No Errors,0.0
images\face of a girl with piercings.jpg,Jonny,Unrealistic,2.0
images\face of a boy with glasses(3).jpg,Jonny,Unrealistic,3.0
images\female face(4).jpg,Jonny,No Errors,0.0
images\female face(12).jpg,Jonny,No Errors,0.0
images\face of a boy with glasses(1).jpg,Jonny,No Errors,0.0
images\school boy face (1).jpg,Jonny,Unrealistic,2.0
images\female face(16).jpg,Jonny,Unrealistic,2.0
images\female face(22).jpg,Jonny,No Errors,0.0
images\child face(1).jpg,Jonny,No Errors,0.0
images\face of a girl with piercings2.jpg,Jonny,No Errors,0.0
images\face of a man with a tattoo2.jpg,Jonny,No Errors,0.0
images\face of a man (3).jpg,Jonny,No Errors,0.0
images\realistic face (10).jpg,Jonny,No Errors,0.0
images\female face(6).jpg,Jonny,No Errors,0.0
images\realistic face (9).jpg,Jonny,No Errors,0.0
images\realistic face (41).jpg,Jonny,No Errors,0.0
images\face of a darkskinned man.jpg,fabian,No Errors,0.0
images\face of a man with glasses3.jpg,fabian,No Errors,0.0
images\realistic face (18).jpg,fabian,Unrealistic,1.0
images\face(2).jpg,fabian,Unrealistic,1.0
images\old man face.jpg,fabian,No Errors,0.0
images\face of a smiling woman(1).jpg,fabian,No Errors,0.0
images\sleeping face.jpg,fabian,No Errors,0.0
images\face of a woman with black hair(3).jpg,fabian,Unrealistic,1.0
images\child face (2).jpg,fabian,Number of Features,3.0
images\realistic face (19).jpg,fabian,Unrealistic,3.0
images\realistic (11).jpg,fabian,No Errors,0.0
images\realistic face (48).jpg,fabian,Unrealistic,3.0
images\realistic (23).jpg,fabian,Unrealistic,2.0
images\nf_3.jpg,fabian,Unrealistic,3.0
images\face of a man with black hair(1).jpg,fabian,No Errors,0.0
images\female face(11).jpg,fabian,No Errors,0.0
images\a realistic face.jpg,fabian,Number of Features,2.0
images\face(1).jpg,fabian,Unrealistic,3.0
images\face of a smiling woman.jpg,fabian,Unrealistic,3.0
images\boy face.jpg,fabian,Alignment Problem,1.0
images\sleeping face(5).jpg,jakob,Alignment Problem,1.0
images\realistic face (14).jpg,jakob,No Errors,0.0
images\ugly male face.jpg,jakob,No Errors,0.0
images\a realistic face (1).jpg,jakob,No Errors,0.0
images\realistic face (20).jpg,jakob,No Errors,0.0
images\child face(7).jpg,jakob,Number of Features,2.0
images\face of a smiling child.jpg,jakob,Alignment Problem,1.0
images\young.jpg,jakob,Unrealistic,1.0
images\school girl face.jpg,jakob,No Errors,0.0
images\child face (1).jpg,jakob,Number of Features,1.0
images\realistic (9).jpg,jakob,No Errors,0.0
images\unreal_3.jpg,jakob,Unrealistic,2.0
images\face of a boy with piercings(3).jpg,jakob,No Errors,0.0
images\unreal_1.jpg,jakob,Unrealistic,3.0
images\face of a man with glasses2.jpg,jakob,No Errors,0.0
images\ip_1.jpg,jakob,No Errors,0.0
images\female face(21).jpg,jakob,Number of Features,5.0
images\realistic face (16).jpg,jakob,No Errors,0.0
images\realistic (15).jpg,jakob,Unrealistic,5.0
images\ip_5.jpg,jakob,Alignment Problem,1.0
images\female face(20).jpg,lucask,Alignment Problem,1.0
images\realistic (19).jpg,lucask,No Errors,0.0
images\natural face (1).jpg,lucask,Alignment Problem,1.0
images\old lady face (4).jpg,lucask,No Errors,0.0
images\female nose(3).jpg,lucask,Wrong Aspect,3.0
images\face of a smiling man with long red hair(1).jpg,lucask,No Errors,0.0
images\face of a darkskinned man(1).jpg,lucask,Unrealistic,1.0
images\correct_2.jpg,lucask,No Errors,0.0
images\female face(18).jpg,lucask,Alignment Problem,3.0
images\face of a man.jpg,lucask,Unrealistic,3.0
images\old lady face (5).jpg,lucask,No Errors,0.0
images\face of a smiling girl with red hair(1).jpg,lucask,Unrealistic,2.0
images\realistic face (5).jpg,lucask,Unrealistic,1.0
images\face of a darkskinned woman.jpg,lucask,No Errors,0.0
images\face of a boy with piercings.jpg,lucask,No Errors,0.0
images\old lady face (1).jpg,lucask,No Errors,0.0
images\female nose(1).jpg,lucask,No Errors,0.0
images\face of a smiling man(1).jpg,lucask,Unrealistic,2.0
images\realistic face (8).jpg,lucask,No Errors,0.0
images\female face(30).jpg,lucask,Unrealistic,3.0
images\old man face (3).jpg,Jit,Unrealistic,5.0
images\face of a girl with glasses(3).jpg,Jit,Wrong Aspect,2.0
images\pp_5.jpg,Jit,Unrealistic,4.0
images\face of a smiling boy(3).jpg,Jit,No Errors,0.0
images\face of a man with a face piercing2.jpg,Jit,Wrong Aspect,3.0
images\female face(20).jpg,Jit,Alignment Problem,2.0
images\female face(21).jpg,Jit,Number of Features,2.0
images\face of a sleeping girl(1).jpg,Jit,Unrealistic,3.0
images\realistic face (13).jpg,Jit,Incorrect Proportion,2.0
images\realistic face (4).jpg,Jit,Incorrect Proportion,1.0
images\female face(18).jpg,Jit,Unrealistic,3.0
images\female face(4).jpg,Jit,Incorrect Proportion,1.0
images\8.jpg,Jit,No Errors,0.0
images\child face (2).jpg,Jit,Number of Features,2.0
images\correct_5.jpg,Jit,Incorrect Proportion,1.0
images\face of a girl with piercings3.jpg,Jit,Alignment Problem,2.0
images\adolescent.jpg,Jit,No Errors,0.0
images\face of a smiling boy.jpg,Jit,Unrealistic,4.0
images\natural face (1).jpg,Jit,Unrealistic,4.0
images\face of a darkskinned man.jpg,Jit,No Errors,0.0
images\female face(9).jpg,Satra,Unrealistic,3.0
images\face of a man (4).jpg,Satra,No Errors,0.0
images\female face(26).jpg,Satra,Unrealistic,4.0
images\face of a man.jpg,Satra,Unrealistic,5.0
images\realistic face (44).jpg,Satra,Incorrect Proportion,1.0
images\face of a man (3).jpg,Satra,No Errors,0.0
images\face of a man with a tattoo2.jpg,Satra,Alignment Problem,1.0
images\child face(1).jpg,Satra,Alignment Problem,1.0
images\perfect.jpg,Satra,No Errors,0.0
images\realistic (3).jpg,Satra,Incorrect Proportion,2.0
images\realistic (14).jpg,Satra,Incorrect Proportion,3.0
images\face of a boy with black hair(1).jpg,Satra,Unrealistic,4.0
images\realistic face (19).jpg,Satra,Unrealistic,4.0
images\unreal_1.jpg,Satra,Unrealistic,5.0
images\correct_2.jpg,Satra,Incorrect Proportion,1.0
images\adolescent (1).jpg,Satra,Unrealistic,4.0
images\realistic face of a young girl (4).jpg,Satra,Alignment Problem,2.0
images\face of a woman with black hair(2).jpg,Satra,Incorrect Proportion,1.0
